,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jan,144.6129032,169.0645161,183.5483871,151.0645161,139.6129032,156.2580645,175.0967742,168.9354839,184.7741935,182.483871,183.0322581,183.6774194,176.9677419,165.2258065
Feb,151.2758621,150.2857143,155.9642857,138.0357143,150.3793103,150.3571429,162.1071429,168.3571429,182.7586207,172.5,182.3571429,152.75,172.5862069,161.5714286
Mar,149.8709677,154.1612903,153.5806452,142,149.6451613,158.0322581,208.483871,170.3870968,167.8064516,184.2580645,181.0967742,172.1935484,201.8709677,155.8387097
Apr,150.4666667,155.9666667,159.1333333,143.7666667,158.4,154,196.7333333,175.0666667,173.6333333,183.9333333,184.2666667,176.8666667,193.6,153.6333333
May,160.7096774,161.5483871,165.2258065,156.4516129,154.2580645,172.6451613,187.0645161,175.0967742,185.5806452,182.8709677,196.6774194,174.7741935,365.3870968,
Jun,162.9,163.9,168.2666667,158.8666667,154.4666667,166,193.4,178,177.8,185.6,196.1666667,178.7,149.2333333,
Jul,167.7741935,168.7741935,158.0645161,157.6451613,158.9032258,170.0967742,182.0645161,173.8709677,185.0322581,191.3870968,195.3225806,190.8387097,166.8387097,
Aug,165.1612903,173.5483871,158.2580645,160.6451613,157.3870968,167.0322581,176.0967742,177.2580645,174.5483871,193.483871,190.8387097,192.5483871,181.4516129,
Sep,176.0666667,178.6666667,160.2666667,161.9666667,157.2,171.9333333,178.6333333,176.1333333,175.8333333,186.1333333,192.8,183.1,185.6333333,
Oct,174,170.0322581,171.5806452,156.1290323,148.3225806,177.7419355,181.0967742,181.1290323,179.1290323,190.7741935,187.3225806,184.2258065,193.8387097,
Nov,165.7666667,166.6,150.4,146.5333333,143.5666667,173.5,170.2,179.6,185.1,178.9666667,187.4666667,185.8333333,171.6666667,
Dec,143.0967742,165.1290323,150.1612903,150.1612903,149.8709677,167.5483871,166.1612903,176.516129,178.7741935,178.516129,187.0322581,176.3870968,178.2258065,
Monthly Avg,159.3084724,164.806426,161.2041923,151.9388185,151.834387,165.4287762,181.4281938,175.0292243,179.2308707,184.2422939,188.6983103,179.3245968,194.7750154,